Station,ABP ,ALT ,AMS ,AMY ,AOC ,ASC ,ASK ,AVI ,AZR ,BAL ,BHD ,BKT ,BME ,BMW ,BRW ,BSC ,CBA ,CGO ,CHR ,CIB ,CMO ,CPT ,CRZ ,DRP ,DSI ,EIC ,GMI ,GOZ ,HBA ,HPB ,HSU ,HUN ,ICE ,IZO ,KCO ,KEY ,KUM ,KZD ,KZM ,LEF ,LLB ,LLN ,LMP ,MBC ,MEX ,MHD ,MID ,MKN ,MLO ,NAT ,NMB ,NWR ,OPW ,OXK ,PAL ,PAO ,PSA ,PTA ,RPB ,SDZ ,SEY ,SGI ,SGP ,SHM ,SMO ,SPO ,STC ,STM ,SUM ,SYO ,TAC ,TAP ,THD ,TIK ,USH ,UTA ,UUM ,WIS ,WLG ,WPC ,ZEP 
2018010110,407925.875,410903.3125,403143.5938,416969.625,404859.9375,404983.25,407901.5,407405.25,408243.125,410112.1563,404260.4375,412390.25,409689.9063,409689.9063,409746.1875,409849.3125,408641.1563,403066.75,406631.0938,409544.1875,411337.375,404451.4063,403705.0938,403977.375,411663.2188,404550.75,407136.0625,408853.5625,403715.3125,410835.5,412486.4375,409745.5313,409939.5,407713.75,408768.0938,412105.5625,408304.875,411112.375,410162.75,410729.0625,410878.7813,410224.4688,409047.375,410965.0313,407525,409426.6563,407812.25,407489.9375,407686.625,407040.3125,404420.7188,409519.7813,410024.25,410126.5,411599.3125,403972.9063,404028.5938,411845.4375,407547.1563,413012.9063,407356.25,404063.2188,412321.8125,409801.8125,405793.3125,403693.1563,409408.5313,409964.4063,409422.875,403680.5,409985.3438,416969.625,413427.4063,412883.3125,404288,412578.875,413197.1875,411789.6875,409361,407047.25,409692.6875
2018010111,406607.25,410938.3438,403168.4063,418905.5938,404855.0625,404968.4375,407904.5938,407394.9688,408168.5313,410083.25,404707.8125,412481.4063,409852.0938,409852.0938,409746.2188,409776.5,408547.9063,403511.2813,406650.0625,409667.25,411533.2813,404459.9063,403699.3438,403975.375,411406.75,404546.1875,407320.3125,408821.625,403716.4375,410461.5313,412003.4688,409894.2188,409914.5625,407734.1875,408760.9375,412130.8438,408322.0625,411156.2188,410146.0625,410711.5,410855,410266.0938,409042.5313,410982.7813,407481.6563,409339.75,407862,407785.9375,407695.125,406701.0313,404395.125,409539.5625,410038.3125,410199.9063,411656.4063,403963.5,404035.5625,411835.8125,407535.4688,413697.5313,407349.25,404093.6875,412336.5,409850.4063,405782.6563,403692.9375,409488.375,409950.9063,409430.375,403678.2813,409947.25,418905.5938,413467.7188,412929.6563,403927.8125,412752.8125,413311,411551.4375,409397.5,407045.5625,409692.0938
2018010112,406087.3125,410966.8438,403195.3438,420062.6875,404851.0938,404959.4063,407905.7813,407382.7813,408095.9063,410056.3438,405018.7188,412182.8125,409990.9375,409990.9375,409745.75,409859.6563,408463.4063,403692.3438,406665.3438,409722.9063,411699.0313,404480.2813,403690.5625,403940.125,411119.4063,404542.6563,407437.5,408786.4063,403716.625,410288.5625,411869.4688,410100.125,409898.1875,407759.0938,408754.8438,412127.875,408339.875,411189.9375,410139.875,410694.6563,410833.5,410232.3125,408996.5625,410993.5938,407456.9375,409327.5,407901.8438,407632.75,407701.7813,406508.8125,404343.0938,409587.3125,410081.9063,410180.4063,411575.5625,403958.4688,404035.875,411828.3438,407524.6563,413938.2188,407343.4688,404107.875,412336.8125,409905.2813,405773.6875,403693.75,409681.375,409935.75,409439.9375,403676.0938,410137.5938,420062.6875,413430.3438,412958.7813,403688.4063,412973.375,413382.0313,411371.0313,409443.0625,407042.5938,409694.2188
2018010113,405855.625,410989.5625,403235,422376.5625,404848.9375,404949.1563,407909.9063,407362.75,408026.5313,410149.2188,405238.5,411533.2188,410092.0313,410092.0313,409742.9063,409759.3438,408394.6875,403790.3438,406682.2188,409662.6563,411847.0313,404490.5313,403688.5,403938.3125,410881.1563,404541.1563,407514.7813,408785,403714.2813,410247.7188,412013.1875,410243.0313,409889.0313,407789.1563,408746.0625,412128.2813,408358.2813,411217.0625,410142.5625,410677.0938,410800.0625,410155.5938,409001.2813,410995.875,407451.0625,409332.5938,407936.1563,407430.875,407706.8125,406358.2188,404294.8438,409647.25,410113.5938,410187.625,411638.9375,403958.0313,404030.9375,412108,407510.8125,414055.25,407337.4063,404116.0938,412334.7813,409962.4063,405762,403693.4375,409798.4688,409929.9688,409452.0625,403675.125,410128.25,422376.5625,413419.9688,412978.9063,403546.1563,413210.4063,413486.4375,411194.125,409480.6563,407041.3438,409695.1563
2018010114,405283.0938,411008.125,403288.8125,422988.375,404842.2188,404935.2188,407932.3125,407332.7813,407962.7813,410207.5625,405454,411554.2188,410165.5313,410165.5313,409737.3438,409852.5313,408351.4063,403841.2813,406708.875,409495.75,411988.0938,404453.5938,403693.0625,403931,410685.2813,404541.375,407561.3438,408877.0313,403711.4375,410416.4063,412215.3438,410515.25,409881.25,407823.9375,408738.125,412310.625,408375.4063,411235.0313,410150.6563,410668.5938,410752.3438,410099.5625,409038.9375,410990.9375,407457.9375,409298.3125,407962.1875,407281.875,407710.7188,405873.9063,404304.8438,409717.9063,410147.5,410240.8438,411713.4375,403958.125,404051,412532.875,407488.7813,414002.6563,407396.0938,404117.625,412286.1875,410026.8125,405750.875,403692.5938,409779.4063,409927.7813,409465.9063,403674.625,410227.1563,422988.375,413460,412996.1563,403071.1563,413353.9688,413592.25,411077,409516.5625,407045.0625,409694.6875
2018010115,404918.9063,411020.375,403329.9688,423425.75,404837.4063,404922.6563,408082.7188,407312.375,407903.4375,410271.9688,405852.2188,411742.1875,410185.8125,410185.8125,409726.3438,410073.0625,408331.4688,403863.7188,406735.875,409296.9375,412107.2813,404435.25,403702.4063,403922.25,410520.5625,404543.625,407530.0938,409012.5313,403706.8438,410330.5313,412090.3438,410484.5625,409881,407861.0625,408730.9375,411972.0313,408394.4063,411247.75,410166.4063,410666.75,410697.6563,410069.4375,409085.4375,410980.5313,407467.0313,409305.9375,407983.2813,407199.25,407713.7813,405649.9688,404254.625,409798.0625,410195.6875,410279.25,411769.0313,403957.1875,404013.4375,413037.2188,407471.1875,413912.2188,407428.3438,404107.5938,412396.875,410073.4688,405735.8125,403692.1563,409730.625,409933.8438,409478.8125,403670.7813,410017.3125,423425.75,413517.9375,413016.5313,402823.9063,413529.5625,413704.5938,410930.5938,409602.4063,407047.875,409697.5
2018010116,404587.5938,411028.0938,403367.3438,423735.8438,404832.4063,404914.0625,408073.5,407295.2813,407851.7188,410331,405998.2188,412047.5313,410210.4688,410210.4688,409709.5625,410201.8438,408273.5313,403871.5625,406767.0625,409122.4375,412192.6563,404447.6875,403704.8125,403914.5313,410389.6875,404544.4688,407543.6875,409085.4063,403703.6875,410273.5625,412332.125,410532.1875,409880.9375,407899.9688,408723.3438,411414.2813,408414.7813,411302.875,410187.6563,410733.6875,410608.25,410047.7813,409097.4688,410963.5,407474.4375,409318.875,407999.6875,407071.875,407715.5,405469.375,404216.125,409879.4063,410265.375,410278.875,411801.3125,403956.0625,403989.3438,413577.4375,407461.1563,413766.8125,407445.6563,404090.75,412214.9375,410118.3125,405721.9063,403691.625,409670.625,409946.3438,409490.1875,403666.7813,410119.5,423735.8438,413643.2188,413037.4688,402695.9063,413743.875,413817.4688,410810.4063,409777.75,407057.4063,409706.4375
2018010117,404451.5,411028.7188,403406.875,423697.625,404827.7188,404915.375,408071.1563,407270.1875,407804.5938,410383.25,405754.4063,412403.4375,410229.8125,410229.8125,409693.125,410411.4375,408268.9375,403867.1875,406802.9063,408942.9688,412004.8125,404379.9375,403715.6563,403899,410299.8125,404546.7813,407559.3438,409208.5313,403707.625,410289.375,412469.1563,410465.625,409881.8125,407937.0625,408717.25,411053.6563,408431.7188,411316.6563,410199.25,410677.9063,410503.6875,410032.125,409094.4688,410942.4063,407476.8438,409457.8125,408014.1875,406955.1563,407714.5625,405434.9375,404187.0625,409969.3125,410371.8125,410262.375,411815.5938,403950.4063,403988.0313,413974.3125,407441.7188,413210.125,407477.8125,404076.9063,411701.5938,410128.1875,405709.2813,403690.7188,409608.625,409966.5313,409498.6563,403663.9063,410152.4688,423697.625,413470.2188,413066.375,402356.2813,413703.2813,413949.125,410699.0625,410010.2188,407079.4375,409710.5
2018010118,404266.6563,411025.2813,403440.0313,423574.7813,404822.5,404915.0313,408024.9063,407251.3438,407763.7188,410433.4375,405878.0938,412750.4375,410250,410250,409677.2813,410464.0938,408268.4063,403855.75,406855.4688,408842.625,412007.4688,404338.5625,403727.375,403887.3125,410211.9063,404549.75,407572.4063,409264.2188,403710.3125,410237.5625,413125.9375,410269.3125,409880.6563,407970.625,408706.5938,410878.375,408449.4063,411318.1563,410204.7188,410701.75,410375.375,410010.5625,409094.4375,410920.0625,407479.4063,409508.5938,408024.875,406890.2188,407712.6563,405362.6875,404152.5938,410068.2813,410445.4375,410258.5625,411817.7813,403942.7188,403976.4375,414263.875,407430.5938,413041.0625,407491.625,404059.5938,411262.5,410153.6875,405691.8438,403690.1563,409565.8438,409984.6563,409505.1563,403658.7813,410106.25,423574.7813,413337.9063,413093.625,402031.9688,413680.5,414064.625,410691.7813,410289.1875,407110.8125,409708.7188
2018010119,404123.5,411019.6563,403470.8438,423444.4688,404820.3125,404910.5938,407975.5938,407233.75,407729.2813,410435.0938,406043.7188,412996.1563,410268.0625,410268.0625,409664.1875,410467.9688,408281.4375,403841.1563,406902.125,408702.0938,411772.9688,404316.9375,403738.7188,403875.875,410139.6563,404550.1875,407629.0625,409265.8125,403711.9063,410140.6563,413419.2188,410251.6563,409872.6563,407998.8125,408697.0313,410809,408460.5,411312.5,410209.8125,410741.875,410252.5625,409979.4688,409103.7188,410898.1563,407488.2188,409523.2188,408033.625,406877.2188,407709.5313,405306.6875,404141.0313,410193.75,410468.4688,410289.5,411817.125,403939.6875,403932.9063,414456.7813,407423,412897.6563,407500.2813,404044.0938,411016.75,410171.0313,405670.3438,403690.375,409528,410005.75,409510.25,403652.2813,410057.75,423444.4688,413394.2188,413120.4063,401713.375,413489.9688,414167.375,410639.8125,410583.75,407155.6563,409712.7188
