,0
0,412.99496042338694
1,414.0451441205359
2,414.76528992338723
3,416.0519046916668
4,415.481381084677
5,412.2344483833331
6,403.2816046693548
7,398.2872677419355
8,401.2025830583333
9,406.85461279838734
10,412.2676216166668
11,414.4786220121458
