,0
0,411.5184703991935
1,413.8346098750002
2,415.409591064516
3,415.03462293333354
4,412.1461842620967
5,409.9390379500003
6,403.0752707862902
7,400.7022967016127
8,400.8065278166665
9,406.11894609274196
10,412.4577622374999
11,412.68719419433177
