,0
0,404.66737824193547
1,405.7056237589286
2,405.9945450927422
3,405.8992647625002
4,405.75907552419375
5,406.36090493750004
6,407.7472760564516
7,407.50117680241937
8,407.40486409999994
9,407.1678371008062
10,406.5988320666667
11,406.7456965222671
