,0
0,415.5194015645162
1,418.3347076517856
2,416.7254120483871
3,417.01245370416683
4,414.72422237499984
5,410.5405067333334
6,406.38510182661287
7,404.0724910483875
8,407.1358852625
9,409.72530117338715
10,415.03708863750023
11,417.50003970445306
