PTA ,38.95,-123.73,22,,PTA ,236.27 ,38.95 ,0.01 ,123.92,-102 
RPB ,13.165,-59.432,18,,RPB ,300.57 ,13.17 ,0.01 ,5.0882,13 
SDZ ,40.65,117.117,298,,SDZ ,117.12 ,40.65 ,0.07 ,224.72,73 
SEY ,-4.6824,55.5325,5,,SEY ,55.53 ,-4.68 ,0.01 ,0.53806,4 
SGI ,-54,-38,30,,SGI ,322.00 ,-54.00 ,0.01 ,32.524,-3 
SGP ,36.62,-97.48,374,,SGP ,262.52 ,36.62 ,0.02 ,349.69,24 
SHM ,52.72,174.1,26,,SHM ,174.10 ,52.72 ,0.03 ,0.56083,25 
SMO ,-14.25,-170.57,44,,SMO ,189.43 ,-14.25 ,0.04 ,0.78892,43 
SPO ,-89.98,-24.8,2821.3,,SPO ,335.20 ,-89.98 ,0.01 ,2834.2,-13 
STC ,54,-35,6,,STC ,325.00 ,54.00 ,0.01 ,0,6 
STM ,66,2,7,,STM ,2.00 ,66.00 ,0.01 ,0,7 
SUM ,72.5962,-38.422,3214.54,,SUM ,321.58 ,72.60 ,0.05 ,3163.4,51 
SYO ,-69,39.575,14,,SYO ,39.58 ,-69.00 ,0.01 ,58.996,-45 
TAC ,52.5177,1.1386,236,,TAC ,1.14 ,52.52 ,0.18 ,56.995,179 
TAP ,36.73,126.13,21,,TAP ,126.13 ,36.73 ,0.02 ,0.62925,20 
THD ,41.05,-124.15,112,,THD ,235.85 ,41.05 ,0.01 ,112.38,0 
TIK ,71.5965,128.8887,29,,TIK ,128.89 ,71.60 ,0.01 ,26.694,2 
USH ,-54.8675,-68.4758,8,,USH ,291.52 ,-54.87 ,0.01 ,119.88,-112 
UTA ,39.9018,-113.7181,1332,,UTA ,246.28 ,39.90 ,0.01 ,1698.1,-366 
UUM ,44.4516,111.0956,1012,,UUM ,111.10 ,44.45 ,0.03 ,980.14,32 
WIS ,30.8595,34.7809,482,,WIS ,34.78 ,30.86 ,0.01 ,716.57,-235 
WLG ,36.27,100.92,3815,,WLG ,100.92 ,36.27 ,0.18 ,3634.8,180 
WPC ,17.8,143.03,8,,WPC ,143.03 ,17.80 ,0.01 ,0,8 
ZEP ,78.9067,11.8883,479,,ZEP ,11.89 ,78.91 ,0.38 ,94.773,384 
