,0
0,414.65853007258033
1,417.28121591517885
2,416.0038592338711
3,417.36456055833344
4,419.7224177661289
5,420.7426597541665
6,421.14545872177445
7,408.735808201613
8,407.5238937041668
9,413.4320868145161
10,415.41191507083323
11,416.5227555708502
