,sta_value_out,sta_lat_out,sta_lon_out,sta_altitude_out,naq_value_out,naq_lat_out,naq_lon_out,naq_altitude_out,time
0,413.7099895160645,63.0275993347168,-113.74859619140625,1347.0400390625,410.9163,63.0275993347168,-113.74859619140625,"['1134.9', '1390.3']",2017-04-27 18:41:12
1,412.6499989069998,63.77050018310547,-112.92130279541016,2389.909912109375,410.70206,63.77050018310547,-112.92130279541016,"['2112.2', '2563.4']",2017-04-27 19:00:22
2,413.7099895160645,64.85859680175781,-111.62689971923828,490.989990234375,410.6095,64.85859680175781,-111.62689971923828,"['473.32', '570.95']",2017-04-27 19:29:36
3,412.56999247707427,61.89139938354492,-118.03890228271484,2965.389892578125,410.4142,61.89139938354492,-118.03890228271484,"['2412.7', '2966.6']",2017-04-28 18:19:56
4,416.93999082781374,61.295799255371094,-121.2938003540039,314.1199951171875,411.27515,61.295799255371094,-121.2938003540039,"['351.51', '449.75']",2017-04-28 18:55:46
5,411.39000677503645,63.574100494384766,-124.23400115966797,3838.949951171875,410.30856,63.574100494384766,-124.23400115966797,"['3356.8', '3994.7']",2017-04-28 19:59:29
6,414.1099925618619,65.51229858398438,-127.72989654541016,58.70000076293945,410.42758,65.51229858398438,-127.72989654541016,"['365.74', '463.91']",2017-04-28 20:52:07
7,412.11998905055225,67.09349822998047,-130.56320190429688,3314.77001953125,410.3797,67.09349822998047,-130.56320190429688,"['2908.3', '3563.4']",2017-04-28 22:23:48
8,412.6899875700474,67.86389923095703,-137.5225067138672,2909.18994140625,410.53436,67.86389923095703,-137.5225067138672,"['2603.9', '3151.8']",2017-04-29 18:15:56
9,414.6599967498332,67.54100036621094,-140.06280517578125,370.19000244140625,411.204,67.54100036621094,-140.06280517578125,"['505.87', '603.34']",2017-04-29 18:37:15
10,412.51000948250294,67.18930053710938,-142.0998992919922,3837.9599609375,410.45413,67.18930053710938,-142.0998992919922,"['3226.3', '3869.2']",2017-04-29 19:00:21
11,414.8599982727319,66.55740356445312,-145.2960968017578,225.35000610351562,410.72495,66.55740356445312,-145.2960968017578,"['304.67', '403.14']",2017-04-29 19:29:10
12,412.6499989069998,64.95459747314453,-150.2093048095703,2841.570068359375,410.45563,64.95459747314453,-150.2093048095703,"['2546.2', '3095.9']",2017-04-30 19:53:05
13,411.9600052945316,64.92890167236328,-151.81039428710938,3559.760009765625,410.4033,64.92890167236328,-151.81039428710938,"['3066.4', '3715.4']",2017-04-30 20:07:31
14,415.0700115133077,64.73690032958984,-156.7010040283203,639.0,410.89542,64.73690032958984,-156.7010040283203,"['565.82', '744.11']",2017-04-30 20:47:40
15,413.03999023512006,62.721500396728516,-159.90049743652344,4118.22998046875,410.5329,62.721500396728516,-159.90049743652344,"['3539.5', '4334.7']",2017-04-30 21:47:29
16,412.73998795077205,61.35540008544922,-161.19630432128906,1561.489990234375,410.6564,61.35540008544922,-161.19630432128906,"['1441.6', '1820.4']",2017-04-30 22:16:05
17,412.95000119134784,60.82120132446289,-161.77439880371094,459.2699890136719,410.77487,60.82120132446289,-161.77439880371094,"['374.03', '532.78']",2017-04-30 22:28:22
