,sta_value_out,sta_lat_out,sta_lon_out,sta_altitude_out,naq_value_out,naq_lat_out,naq_lon_out,naq_altitude_out,time
0,389.04999382793903,40.8224983215332,-97.09190368652344,7654.14013671875,390.375,40.8224983215332,-97.09190368652344,"['6664.3', '8011.5']",2010-01-27 20:59:51
1,390.9700026270002,40.69110107421875,-97.04720306396484,6030.47021484375,390.53235,40.69110107421875,-97.04720306396484,"['5531.9', '6664.3']",2010-01-27 21:06:48
2,390.5500052496791,40.88890075683594,-96.93939971923828,5094.72998046875,390.6751,40.88890075683594,-96.93939971923828,"['4550.6', '5472.1']",2010-01-27 21:11:13
3,390.90000791475177,40.954898834228516,-97.12139892578125,3838.9599609375,390.8502,40.954898834228516,-97.12139892578125,"['3833.2', '4614.2']",2010-01-27 21:15:58
4,394.130009226501,40.76369857788086,-97.20040130615234,2058.919921875,391.8364,40.76369857788086,-97.20040130615234,"['1822.1', '2193.1']",2010-01-27 21:26:21
5,396.0600006394088,40.81439971923828,-97.22689819335938,1448.7099609375,392.34903,40.81439971923828,-97.22689819335938,"['1255.9', '1509.7']",2010-01-27 21:31:18
6,392.7999932784587,40.81100082397461,-97.13800048828125,1044.239990234375,392.67468,40.81100082397461,-97.13800048828125,"['1021.6', '1255.9']",2010-01-27 21:34:05
7,393.08000123128295,40.79610061645508,-97.15670013427734,633.6799926757812,393.8057,40.79610061645508,-97.15670013427734,"['572.53', '689.69']",2010-01-27 21:37:05
8,390.8099897671491,40.78919982910156,-97.0884017944336,6128.0,390.92474,40.78919982910156,-97.0884017944336,"['5531.9', '6664.3']",2010-03-03 15:34:11
9,391.4500121027231,40.809898376464844,-97.27960205078125,5201.10986328125,390.97052,40.809898376464844,-97.27960205078125,"['4614.2', '5531.9']",2010-03-03 15:38:11
10,391.79998566396534,40.80099868774414,-97.08709716796875,3924.909912109375,391.27664,40.80099868774414,-97.08709716796875,"['3833.2', '4614.2']",2010-03-03 15:42:10
11,392.5499913748354,40.755001068115234,-97.17269897460938,3025.139892578125,391.61636,40.755001068115234,-97.17269897460938,"['2642.1', '3188.9']",2010-03-03 15:47:28
12,393.5100103262812,40.855201721191406,-97.2029037475586,2079.35009765625,392.4371,40.855201721191406,-97.2029037475586,"['1822.1', '2193.1']",2010-03-03 15:50:46
13,397.39999920129776,40.82310104370117,-97.11499786376953,1516.6800537109375,392.94135,40.82310104370117,-97.11499786376953,"['1509.7', '1822.1']",2010-03-03 15:55:10
14,397.78000791557133,40.793800354003906,-97.2322998046875,1067.4100341796875,393.98972,40.793800354003906,-97.2322998046875,"['1021.6', '1255.9']",2010-03-03 15:57:51
15,397.0300022047013,40.817100524902344,-97.19339752197266,630.02001953125,395.29333,40.817100524902344,-97.19339752197266,"['572.53', '689.69']",2010-03-03 16:00:24
16,391.40001172199845,40.83369827270508,-97.22460174560547,7831.22998046875,391.65012,40.83369827270508,-97.22460174560547,"['6664.3', '8011.5']",2010-03-29 15:18:42
17,391.62999019026756,40.819400787353516,-97.21649932861328,6231.02978515625,391.687,40.819400787353516,-97.21649932861328,"['5531.9', '6664.3']",2010-03-29 15:25:01
18,391.7700087185949,40.79880142211914,-97.09349822998047,5299.56005859375,391.75507,40.79880142211914,-97.09349822998047,"['4614.2', '5531.9']",2010-03-29 15:28:31
19,392.77999894693494,40.7578010559082,-97.14959716796875,4038.60009765625,391.86545,40.7578010559082,-97.14959716796875,"['3833.2', '4614.2']",2010-03-29 15:32:23
20,392.64000952243805,40.73910140991211,-97.20989990234375,3110.47998046875,392.15018,40.73910140991211,-97.20989990234375,"['2642.1', '3188.9']",2010-03-29 15:37:24
21,393.9000016544014,40.82899856567383,-97.2322998046875,2189.3798828125,392.66864,40.82899856567383,-97.2322998046875,"['1822.1', '2193.1']",2010-03-29 15:41:06
22,393.8000008929521,40.815799713134766,-97.13849639892578,1560.5799560546875,392.93936,40.815799713134766,-97.13849639892578,"['1509.7', '1822.1']",2010-03-29 15:45:16
23,394.18000960722566,40.78379821777344,-97.20760345458984,1081.1300048828125,393.4415,40.78379821777344,-97.20760345458984,"['1021.6', '1255.9']",2010-03-29 15:48:00
24,397.9699977207929,40.800201416015625,-97.19879913330078,625.1400146484375,394.26767,40.800201416015625,-97.19879913330078,"['572.53', '689.69']",2010-03-29 15:50:41
25,393.4999986086041,40.86669921875,-97.17780303955078,7831.52978515625,392.71075,40.86669921875,-97.17780303955078,"['6664.3', '8011.5']",2010-04-28 16:09:41
26,393.6199937015772,40.8026008605957,-97.18219757080078,6244.43994140625,392.62415,40.8026008605957,-97.18219757080078,"['5531.9', '6664.3']",2010-04-28 16:17:51
27,393.58000503852963,40.78900146484375,-97.23860168457031,5289.18994140625,392.50656,40.78900146484375,-97.23860168457031,"['4614.2', '5531.9']",2010-04-28 16:21:57
28,392.1200113836676,40.80540084838867,-97.21520233154297,3158.030029296875,392.4494,40.80540084838867,-97.21520233154297,"['2642.1', '3188.9']",2010-04-28 16:32:34
29,391.3500113412738,40.786800384521484,-97.17320251464844,2189.989990234375,392.92746,40.786800384521484,-97.17320251464844,"['1822.1', '2193.1']",2010-04-28 16:36:16
30,390.18000825308263,40.8297004699707,-97.1720962524414,1568.5,393.13745,40.8297004699707,-97.1720962524414,"['1509.7', '1822.1']",2010-04-28 16:40:45
31,390.30000334605575,40.794898986816406,-97.16470336914062,1121.3599853515625,393.40054,40.794898986816406,-97.16470336914062,"['1021.6', '1255.9']",2010-04-28 16:42:45
32,390.72000072337687,40.819400787353516,-97.17780303955078,667.510009765625,393.40463,40.819400787353516,-97.17780303955078,"['572.53', '689.69']",2010-04-28 16:45:18
33,393.2699910365045,40.785301208496094,-97.25740051269531,8035.75,392.34854,40.785301208496094,-97.25740051269531,"['8011.5', '9612.6']",2010-05-26 19:40:17
34,394.18000960722566,40.75659942626953,-97.29029846191406,6431.27978515625,392.01535,40.75659942626953,-97.29029846191406,"['5531.9', '6664.3']",2010-05-26 19:46:06
35,394.4899945054203,40.795799255371094,-97.2771987915039,5442.81005859375,391.9417,40.795799255371094,-97.2771987915039,"['4614.2', '5531.9']",2010-05-26 19:50:22
36,392.5499913748354,40.76490020751953,-97.30370330810547,4127.91015625,391.99194,40.76490020751953,-97.30370330810547,"['3833.2', '4614.2']",2010-05-26 19:55:40
37,392.57999742403626,40.77180099487305,-97.30580139160156,3169.31005859375,392.45383,40.77180099487305,-97.30580139160156,"['2642.1', '3188.9']",2010-05-26 20:00:52
38,392.71998684853315,40.81129837036133,-97.30770111083984,2200.050048828125,393.42285,40.81129837036133,-97.30770111083984,"['2193.1', '2642.1']",2010-05-26 20:04:12
39,392.37001328729093,40.87139892578125,-97.23100280761719,8043.97998046875,390.67538,40.87139892578125,-97.23100280761719,"['8011.5', '9612.6']",2010-06-21 18:14:13
40,392.149988329038,40.777000427246094,-97.28810119628906,6455.0498046875,390.53107,40.777000427246094,-97.28810119628906,"['5531.9', '6664.3']",2010-06-21 18:19:31
41,392.0900053344667,40.833499908447266,-97.14910125732422,5473.2900390625,390.40167,40.833499908447266,-97.14910125732422,"['4614.2', '5531.9']",2010-06-21 18:23:19
