2018010102,420.4359131,419.9494629,419.4519043,418.7479248,416.6431885,414.1864014,412.0009766,409.835083,409.1959229,408.8115234,408.5792236,408.6169434,408.8076172,408.970459,408.9262695,408.5794678,407.9776611,407.3681641,406.5561523,405.7236328,405.1914063,404.723877,404.2156982,403.819458,403.5797119,403.1030273,401.8699951,399.5372314,397.1550293,396.1804199,395.4759521,394.1131592,393.4770508,392.8167725
2018010105,418.8105469,418.3757324,418.0306396,417.694458,417.1530762,415.1536865,411.940918,409.7645264,409.0146484,408.59021,408.4664307,408.6965332,409.0236816,409.1430664,408.9208984,408.4073486,407.7706299,407.2348633,406.5546875,405.8148193,405.3006592,404.8743896,404.3759766,403.8837891,403.4755859,402.9775391,401.9887695,399.8950195,397.267334,396.1309814,395.4282227,394.1296387,393.5036621,392.8382568
2018010108,423.439209,420.1466064,418.3084717,417.8131104,416.8842773,414.1540527,411.4359131,409.6593018,408.8312988,408.4289551,408.456665,408.8103027,409.1181641,409.0236816,408.6357422,408.1757813,407.706543,407.2686768,406.661499,405.9525146,405.4541016,405.0401611,404.5518799,404.0206299,403.4554443,402.8828125,402.0240479,400.0670166,397.3592529,396.1480713,395.3892822,394.1268311,393.5269775,392.8295898
2018010111,430.8742676,423.071167,419.4418945,417.8265381,415.7868652,413.2203369,411.2081299,409.5450439,408.6938477,408.3945313,408.5831299,408.8725586,408.9447021,408.6623535,408.3179932,408.0093994,407.7342529,407.4379883,406.8540039,406.0943604,405.5827637,405.1929932,404.74646,404.2041016,403.5040283,402.8312988,402.074707,399.9812012,397.4036865,396.2746582,395.3416748,394.1224365,393.5308838,392.8148193
2018010114,434.2636719,424.4051514,420.6569824,417.8529053,415.3116455,413.1707764,411.3447266,409.4195557,408.6092529,408.4881592,408.6741943,408.6964111,408.5496826,408.2758789,407.9984131,407.7570801,407.6044922,407.4095459,406.8679199,406.1193848,405.6177979,405.2714844,404.8859863,404.3516846,403.6108398,402.8980713,402.1367188,399.9276123,397.4300537,396.4544678,395.2926025,394.1311035,393.5113525,392.7751465
2018010117,435.5689697,424.8271484,421.477417,418.1864014,415.546875,413.9570313,411.8154297,409.3087158,408.5992432,408.5977783,408.6414795,408.4355469,408.185791,407.9552002,407.7608643,407.5930176,407.4865723,407.2572021,406.6890869,406.0185547,405.5819092,405.2794189,404.9385986,404.4586182,403.7694092,402.9605713,402.2589111,400.1948242,397.6252441,396.5996094,395.2148438,394.1303711,393.4915771,392.7800293
2018010120,438.4530029,426.8782959,421.1315918,418.4666748,416.189209,414.9742432,412.2749023,409.3009033,408.6384277,408.6464844,408.5251465,408.2387695,408.0119629,407.8436279,407.7113037,407.6165771,407.496582,407.1210938,406.5233154,405.9294434,405.5773926,405.3079834,404.9747314,404.5334473,403.8331299,402.8444824,402.3566895,400.2313232,397.7994385,396.5953369,395.1495361,394.1242676,393.4854736,392.8118896
2018010123,441.0933838,431.3548584,420.9770508,418.3937988,416.8597412,415.9345703,413.022583,409.4969482,408.6748047,408.6331787,408.4195557,408.149292,407.9874268,407.868042,407.7716064,407.6617432,407.4278564,406.9973145,406.4321289,405.9328613,405.6352539,405.3598633,405.0048828,404.5534668,403.763916,402.550293,402.2601318,400.1240234,397.8128662,396.4130859,395.1075439,394.0933838,393.480835,392.8115234
2018010202,425.4697266,424.6380615,423.4049072,420.9973145,418.8062744,417.184082,414.1429443,409.9398193,408.7384033,408.6485596,408.4124756,408.1824951,408.1188965,408.057251,407.8717041,407.6599121,407.3631592,406.9400635,406.3907471,405.9099121,405.614502,405.348999,405.0441895,404.6453857,403.838623,402.2573242,401.8225098,400.1998291,397.8969727,396.1405029,395.0842285,394.053833,393.4715576,392.7886963
2018010205,421.9367676,421.4643555,421.0539551,420.6251221,419.8276367,417.7038574,414.8360596,410.4591064,408.8959961,408.7498779,408.5091553,408.2640381,408.2229004,408.1624756,407.9282227,407.6882324,407.3514404,406.9064941,406.3435059,405.842041,405.5157471,405.2581787,405.036377,404.7567139,404.0426025,402.2592773,401.0625,400.0792236,397.9926758,395.9083252,395.0629883,394.0541992,393.4732666,392.8098145
2018010208,423.2900391,422.1252441,420.7166748,419.6612549,418.3166504,416.6540527,413.9898682,410.2644043,409.0252686,408.8703613,408.6644287,408.5084229,408.4505615,408.3482666,408.3250732,407.9976807,407.3961182,406.8984375,406.3503418,405.9177246,405.5864258,405.2871094,405.0672607,404.8425293,404.208374,402.4193115,400.786377,399.7000732,397.8657227,395.8043213,395.0388184,394.0595703,393.4837646,392.848877
2018010211,423.567749,422.0579834,420.5096436,419.2518311,416.5697021,414.4902344,411.8883057,409.6519775,409.0754395,408.8681641,408.6853027,408.6882324,408.9033203,409.0889893,409.0626221,408.7087402,407.6529541,406.9287109,406.4611816,406.0922852,405.8183594,405.4517822,405.1398926,404.8759766,404.3405762,402.763916,401.0950928,399.4104004,397.5969238,395.8901367,395.0319824,394.0715332,393.4934082,392.8537598
2018010214,422.4239502,421.6265869,420.7694092,419.4257813,414.9648438,412.7091064,410.8735352,409.605957,409.1518555,408.8654785,408.6268311,408.5848389,408.6953125,408.8096924,408.84375,408.3765869,407.4116211,406.8603516,406.6879883,406.3720703,406.0297852,405.6604004,405.2747803,404.9373779,404.4455566,403.0588379,401.3746338,399.2912598,397.3522949,396.0966797,395.0322266,394.0311279,393.5028076,392.8504639
2018010217,422.1768799,421.4692383,420.7030029,419.3586426,414.3909912,412.0802002,410.6621094,409.7332764,409.2585449,408.8859863,408.5981445,408.5025635,408.4915771,408.470459,408.2606201,407.5742188,407.0081787,406.9589844,407.067627,406.6289063,406.1217041,405.7543945,405.432251,405.0422363,404.5380859,403.3422852,401.7897949,399.6270752,397.3106689,396.2768555,395.0455322,394.0097656,393.5093994,392.857666
2018010220,421.9766846,421.3079834,420.541626,418.8770752,413.8280029,412.0076904,410.7836914,409.8337402,409.3082275,408.902832,408.633667,408.5288086,408.4169922,408.1878662,407.8105469,407.303833,407.085083,407.3126221,407.3067627,406.7303467,406.2894287,405.8199463,405.4309082,405.0748291,404.543335,403.5129395,401.9754639,399.8195801,397.3676758,396.3242188,395.0516357,393.9854736,393.5114746,392.8690186
2018010223,422.4898682,421.6392822,420.6912842,418.5748291,413.5625,412.1519775,410.9622803,409.8933105,409.3448486,408.944458,408.6136475,408.364624,408.1132813,407.8509521,407.5865479,407.2415771,407.163208,407.4110107,407.3215332,406.8792725,406.4250488,405.8435059,405.3735352,405.019043,404.5247803,403.6530762,402.0577393,399.8161621,397.420166,396.263916,395.0426025,393.9676514,393.5072021,392.901001
2018010302,421.1837158,420.6765137,420.1236572,419.2089844,414.2775879,412.2540283,411.2198486,409.9384766,409.4204102,408.9761963,408.4970703,408.1854248,407.9406738,407.7141113,407.5067139,407.2435303,407.2352295,407.5512695,407.6418457,407.1107178,406.4240723,405.8395996,405.4084473,405.0076904,404.4705811,403.7475586,402.2529297,399.8935547,397.4697266,396.1608887,395.0303955,393.960083,393.496582,392.9530029
2018010305,419.1202393,418.7012939,418.3063965,417.8253174,416.5268555,412.6131592,411.074707,409.9813232,409.4919434,408.9532471,408.4172363,408.130127,407.9117432,407.6843262,407.4708252,407.2297363,407.2758789,407.8209229,408.125,407.3668213,406.4787598,405.928833,405.5384521,405.0783691,404.4688721,403.7231445,402.4066162,400.0531006,397.6186523,395.9989014,395.013916,393.9658203,393.4833984,392.9941406
2018010308,420.1630859,419.3382568,418.5645752,417.8223877,416.0228271,412.3641357,410.8538818,410.0531006,409.5220947,408.8841553,408.3549805,408.1339111,407.9854736,407.7770996,407.4683838,407.2536621,407.6201172,408.411377,408.5982666,407.5571289,406.5474854,406.0465088,405.6444092,405.0726318,404.4572754,403.7561035,402.5303955,400.2479248,397.7243652,395.8039551,395.0145264,393.9810791,393.4788818,392.9610596
2018010311,422.0866699,420.9832764,419.8504639,418.2264404,414.5750732,412.0148926,410.802124,410.15979,409.5012207,408.84021,408.4813232,408.4627686,408.4158936,407.9827881,407.5,407.5390625,408.1651611,408.8702393,408.9350586,407.7244873,406.564209,406.0869141,405.6435547,405.0013428,404.3876953,403.8398438,402.6225586,400.3748779,397.7685547,395.690918,395.032959,394.0229492,393.4703369,392.8973389
2018010314,422.2714844,421.411377,420.4443359,418.4910889,414.1105957,412.0390625,410.8612061,410.1630859,409.4160156,408.8867188,408.883667,408.9002686,408.4678955,407.8321533,407.6774902,407.9862061,408.5206299,408.8989258,409.1290283,408.0211182,406.8093262,406.2104492,405.645752,404.9755859,404.3061523,403.7670898,402.7015381,400.4816895,397.7836914,395.6516113,395.0349121,394.0246582,393.4719238,392.9101563
