,sta_value_out,sta_lat_out,sta_lon_out,sta_altitude_out,naq_value_out,naq_lat_out,naq_lon_out,naq_altitude_out,time
0,387.4500107485801,-21.313499450683594,-159.58779907226562,6463.27978515625,387.06506,-21.313499450683594,-159.58779907226562,"['6340.]', '7720.]']",2010-01-16 02:27:43
1,387.80999602749944,-21.422399520874023,-159.82110595703125,5776.56982421875,386.92148,-21.422399520874023,-159.82110595703125,"['5179.9', '6340.]']",2010-01-16 02:32:15
2,388.44000664539635,-21.315000534057617,-159.93280029296875,5185.8701171875,386.92148,-21.315000534057617,-159.93280029296875,"['5179.9', '6340.]']",2010-01-16 02:34:51
3,387.57998845539987,-21.193599700927734,-159.818603515625,4507.990234375,386.63943,-21.193599700927734,-159.818603515625,"['4240.]', '5179.9']",2010-01-16 02:37:43
4,387.64000055380166,-21.049100875854492,-159.8061065673828,3853.590087890625,386.63312,-21.049100875854492,-159.8061065673828,"['3440.]', '4240.]']",2010-01-16 02:40:16
5,387.80999602749944,-20.914899826049805,-159.81399536132812,3201.6201171875,387.31564,-20.914899826049805,-159.81399536132812,"['2780.]', '3440.]']",2010-01-16 02:42:42
6,387.77998997829854,-20.811599731445312,-159.8415069580078,2728.260009765625,387.43234,-20.811599731445312,-159.8415069580078,"['2220.]', '2780.]']",2010-01-16 02:44:44
7,387.9799915011972,-21.23200035095215,-159.63400268554688,6337.39990234375,387.36566,-21.23200035095215,-159.63400268554688,"['5179.9', '6340.]']",2010-01-28 02:23:28
8,388.0900039803237,-21.32710075378418,-159.38429260253906,5352.58984375,387.36566,-21.32710075378418,-159.38429260253906,"['5179.9', '6340.]']",2010-01-28 02:27:28
9,387.62998883612454,-21.304000854492188,-159.25869750976562,5107.52978515625,387.0335,-21.304000854492188,-159.25869750976562,"['4240.]', '5179.9']",2010-01-28 02:29:34
10,387.77998997829854,-21.341100692749023,-159.3332977294922,4473.5498046875,387.0335,-21.341100692749023,-159.3332977294922,"['4240.]', '5179.9']",2010-01-28 02:32:42
11,388.1799930240959,-21.280899047851562,-159.4770050048828,3824.02001953125,386.59747,-21.280899047851562,-159.4770050048828,"['3440.]', '4240.]']",2010-01-28 02:35:28
12,387.3899986501783,-21.251800537109375,-159.6083984375,3202.530029296875,386.31757,-21.251800537109375,-159.6083984375,"['2780.]', '3440.]']",2010-01-28 02:37:45
13,386.6800107061863,-21.221399307250977,-159.75180053710938,2745.030029296875,386.1475,-21.221399307250977,-159.75180053710938,"['2220.]', '2780.]']",2010-01-28 02:40:22
14,386.8200001306832,-21.1466007232666,-159.71820068359375,1962.0,385.9647,-21.1466007232666,-159.71820068359375,"['1760.]', '2220.]']",2010-01-28 02:44:13
15,387.3899986501783,-21.30940055847168,-159.6427001953125,6482.7900390625,387.7742,-21.30940055847168,-159.6427001953125,"['6340.]', '7720.]']",2010-02-27 00:27:55
16,387.6200062222779,-21.168899536132812,-159.80810546875,5786.6298828125,387.76834,-21.168899536132812,-159.80810546875,"['5179.9', '6340.]']",2010-02-27 00:32:11
17,387.3899986501783,-21.2185001373291,-159.93820190429688,5148.06982421875,387.10577,-21.2185001373291,-159.93820190429688,"['4240.]', '5179.9']",2010-02-27 00:34:50
18,387.7099952660501,-21.216400146484375,-159.83309936523438,4510.43017578125,387.10577,-21.216400146484375,-159.83309936523438,"['4240.]', '5179.9']",2010-02-27 00:37:30
19,387.77998997829854,-21.100000381469727,-159.88150024414062,3788.050048828125,387.04266,-21.100000381469727,-159.88150024414062,"['3440.]', '4240.]']",2010-02-27 00:40:04
20,387.6200062222779,-21.215700149536133,-159.8791046142578,3225.699951171875,386.9395,-21.215700149536133,-159.8791046142578,"['2780.]', '3440.]']",2010-02-27 00:42:39
21,387.4099929817021,-21.277799606323242,-159.7928009033203,2692.300048828125,386.8986,-21.277799606323242,-159.7928009033203,"['2220.]', '2780.]']",2010-02-27 00:44:48
22,387.1500084642321,-21.393600463867188,-159.72230529785156,6493.14990234375,387.21014,-21.393600463867188,-159.72230529785156,"['6340.]', '7720.]']",2010-03-09 22:57:55
23,386.85998879373074,-21.325000762939453,-159.9658966064453,5868.009765625,387.30075,-21.325000762939453,-159.9658966064453,"['5179.9', '6340.]']",2010-03-09 23:02:11
24,387.0700020343065,-21.173099517822266,-159.96890258789062,5206.2900390625,387.30075,-21.173099517822266,-159.96890258789062,"['5179.9', '6340.]']",2010-03-09 23:04:56
25,386.88001222908497,-21.1648006439209,-159.8282928466797,4536.33984375,387.13437,-21.1648006439209,-159.8282928466797,"['4240.]', '5179.9']",2010-03-09 23:07:26
